"Step","v2_luar_lora - val/inter_cos_sim","v2_luar_lora - val/inter_cos_sim__MIN","v2_luar_lora - val/inter_cos_sim__MAX","v2_luar_frozen_proj - val/inter_cos_sim","v2_luar_frozen_proj - val/inter_cos_sim__MIN","v2_luar_frozen_proj - val/inter_cos_sim__MAX","v2_mpnet_lora_proj - val/inter_cos_sim","v2_mpnet_lora_proj - val/inter_cos_sim__MIN","v2_mpnet_lora_proj - val/inter_cos_sim__MAX","v2_roberta_lora_proj - val/inter_cos_sim","v2_roberta_lora_proj - val/inter_cos_sim__MIN","v2_roberta_lora_proj - val/inter_cos_sim__MAX","v2_mpnet_frozen_proj - val/inter_cos_sim","v2_mpnet_frozen_proj - val/inter_cos_sim__MIN","v2_mpnet_frozen_proj - val/inter_cos_sim__MAX","v2_roberta_frozen_proj - val/inter_cos_sim","v2_roberta_frozen_proj - val/inter_cos_sim__MIN","v2_roberta_frozen_proj - val/inter_cos_sim__MAX"
"0","0.7207908630371094","0.7207908630371094","0.7207908630371094","0.7121270895004272","0.7121270895004272","0.7121270895004272","0.15342794358730316","0.15342794358730316","0.15342794358730316","0.9662861824035645","0.9662861824035645","0.9662861824035645","0.2002798616886139","0.2002798616886139","0.2002798616886139","0.965800940990448","0.965800940990448","0.965800940990448"
"1","0.7304856181144714","0.7304856181144714","0.7304856181144714","0.636673629283905","0.636673629283905","0.636673629283905","0.1567613184452057","0.1567613184452057","0.1567613184452057","0.9666188359260559","0.9666188359260559","0.9666188359260559","0.2623562216758728","0.2623562216758728","0.2623562216758728","0.9675877690315247","0.9675877690315247","0.9675877690315247"
"2","0.7162581086158752","0.7162581086158752","0.7162581086158752","0.49696117639541626","0.49696117639541626","0.49696117639541626","0.16263572871685028","0.16263572871685028","0.16263572871685028","0.9669651389122009","0.9669651389122009","0.9669651389122009","0.3609219193458557","0.3609219193458557","0.3609219193458557","0.9680249094963074","0.9680249094963074","0.9680249094963074"
"3","0.6937483549118042","0.6937483549118042","0.6937483549118042","0.22562094032764435","0.22562094032764435","0.22562094032764435","0.1715802252292633","0.1715802252292633","0.1715802252292633","0.9674599170684814","0.9674599170684814","0.9674599170684814","0.48462656140327454","0.48462656140327454","0.48462656140327454","0.9667468070983887","0.9667468070983887","0.9667468070983887"
"4","0.708128035068512","0.708128035068512","0.708128035068512","0.11038752645254135","0.11038752645254135","0.11038752645254135","0.18354006111621857","0.18354006111621857","0.18354006111621857","0.9682030081748962","0.9682030081748962","0.9682030081748962","0.5952877402305603","0.5952877402305603","0.5952877402305603","0.9622671604156494","0.9622671604156494","0.9622671604156494"
"5","0.6592589020729065","0.6592589020729065","0.6592589020729065","0.18728716671466827","0.18728716671466827","0.18728716671466827","0.199331596493721","0.199331596493721","0.199331596493721","0.9688552618026733","0.9688552618026733","0.9688552618026733","0.6819074153900146","0.6819074153900146","0.6819074153900146","0.9517025351524353","0.9517025351524353","0.9517025351524353"
"6","0.6290175318717957","0.6290175318717957","0.6290175318717957","0.28638628125190735","0.28638628125190735","0.28638628125190735","0.21683873236179352","0.21683873236179352","0.21683873236179352","0.9685098528862","0.9685098528862","0.9685098528862","0.7362126111984253","0.7362126111984253","0.7362126111984253","0.916266679763794","0.916266679763794","0.916266679763794"
"7","0.6559373140335083","0.6559373140335083","0.6559373140335083","0.24334688484668732","0.24334688484668732","0.24334688484668732","0.24023579061031342","0.24023579061031342","0.24023579061031342","0.9678066968917847","0.9678066968917847","0.9678066968917847","0.7777323126792908","0.7777323126792908","0.7777323126792908","0.866447925567627","0.866447925567627","0.866447925567627"
"8","0.5694997906684875","0.5694997906684875","0.5694997906684875","0.18828772008419037","0.18828772008419037","0.18828772008419037","0.26857203245162964","0.26857203245162964","0.26857203245162964","0.9662641882896423","0.9662641882896423","0.9662641882896423","0.8079453110694885","0.8079453110694885","0.8079453110694885","0.8947610855102539","0.8947610855102539","0.8947610855102539"
"9","0.5668538212776184","0.5668538212776184","0.5668538212776184","0.29761022329330444","0.29761022329330444","0.29761022329330444","0.30289435386657715","0.30289435386657715","0.30289435386657715","0.9633783102035522","0.9633783102035522","0.9633783102035522","0.832319438457489","0.832319438457489","0.832319438457489","0.8892762064933777","0.8892762064933777","0.8892762064933777"
"10","0.5294739603996277","0.5294739603996277","0.5294739603996277","0.21585342288017273","0.21585342288017273","0.21585342288017273","0.33598610758781433","0.33598610758781433","0.33598610758781433","0.9587726593017578","0.9587726593017578","0.9587726593017578","0.8461328744888306","0.8461328744888306","0.8461328744888306","0.8659490942955017","0.8659490942955017","0.8659490942955017"
"11","0.4756755530834198","0.4756755530834198","0.4756755530834198","0.2830042541027069","0.2830042541027069","0.2830042541027069","0.38296008110046387","0.38296008110046387","0.38296008110046387","0.9484959840774536","0.9484959840774536","0.9484959840774536","0.8485057353973389","0.8485057353973389","0.8485057353973389","0.816358208656311","0.816358208656311","0.816358208656311"
"12","0.3906814455986023","0.3906814455986023","0.3906814455986023","0.26932352781295776","0.26932352781295776","0.26932352781295776","0.43638935685157776","0.43638935685157776","0.43638935685157776","0.9332819581031799","0.9332819581031799","0.9332819581031799","0.8483802676200867","0.8483802676200867","0.8483802676200867","0.829521119594574","0.829521119594574","0.829521119594574"
"13","0.3692024350166321","0.3692024350166321","0.3692024350166321","0.24149027466773987","0.24149027466773987","0.24149027466773987","0.497585654258728","0.497585654258728","0.497585654258728","0.9052278995513916","0.9052278995513916","0.9052278995513916","0.8430559635162354","0.8430559635162354","0.8430559635162354","0.8195597529411316","0.8195597529411316","0.8195597529411316"
"14","0.33885738253593445","0.33885738253593445","0.33885738253593445","0.21906167268753052","0.21906167268753052","0.21906167268753052","0.5689727067947388","0.5689727067947388","0.5689727067947388","0.8766725659370422","0.8766725659370422","0.8766725659370422","0.8402971625328064","0.8402971625328064","0.8402971625328064","0.8297175765037537","0.8297175765037537","0.8297175765037537"
"15","0.328398197889328","0.328398197889328","0.328398197889328","0.2197207808494568","0.2197207808494568","0.2197207808494568","0.6411462426185608","0.6411462426185608","0.6411462426185608","0.8782604336738586","0.8782604336738586","0.8782604336738586","0.8399573564529419","0.8399573564529419","0.8399573564529419","0.8423029184341431","0.8423029184341431","0.8423029184341431"
"16","0.2835407257080078","0.2835407257080078","0.2835407257080078","0.202562153339386","0.202562153339386","0.202562153339386","0.7101214528083801","0.7101214528083801","0.7101214528083801","0.8732075691223145","0.8732075691223145","0.8732075691223145","0.8401408195495605","0.8401408195495605","0.8401408195495605","0.8256347179412842","0.8256347179412842","0.8256347179412842"
"17","0.284462571144104","0.284462571144104","0.284462571144104","0.1367175132036209","0.1367175132036209","0.1367175132036209","0.7707140445709229","0.7707140445709229","0.7707140445709229","0.8456533551216125","0.8456533551216125","0.8456533551216125","0.8406971096992493","0.8406971096992493","0.8406971096992493","0.8131152987480164","0.8131152987480164","0.8131152987480164"
"18","0.19887307286262512","0.19887307286262512","0.19887307286262512","0.14585839211940765","0.14585839211940765","0.14585839211940765","0.8171911835670471","0.8171911835670471","0.8171911835670471","0.8064967393875122","0.8064967393875122","0.8064967393875122","0.8407729268074036","0.8407729268074036","0.8407729268074036","0.8081400990486145","0.8081400990486145","0.8081400990486145"
"19","0.19758011400699615","0.19758011400699615","0.19758011400699615","0.14166447520256042","0.14166447520256042","0.14166447520256042","0.8388363718986511","0.8388363718986511","0.8388363718986511","0.761824905872345","0.761824905872345","0.761824905872345","0.8407583832740784","0.8407583832740784","0.8407583832740784","0.8074368834495544","0.8074368834495544","0.8074368834495544"